"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"4631","3-Medium","2-Low","2-Low","5-Very High","1-Very Low","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","1-Very Low","2-Low","4-High","4-High","4-High","2-Low","4-High","3-Medium"
"4632","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low","2-Low","4-High","3-Medium"
"4633","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium"
"4634","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium"
"4635","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium"
"4636","3-Medium","2-Low","2-Low","2-Low","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","4-High","5-Very High","3-Medium","3-Medium","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High"
"4637","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"4638","3-Medium","2-Low","4-High","2-Low","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium"
"4639","2-Low","3-Medium","2-Low","3-Medium","5-Very High","2-Low","2-Low","1-Very Low","2-Low","4-High","2-Low","4-High","2-Low","4-High","5-Very High","3-Medium","1-Very Low","2-Low","4-High","2-Low","2-Low","5-Very High","3-Medium","2-Low","2-Low","1-Very Low","4-High","3-Medium"
"4640","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","4-High","4-High","4-High","4-High","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High"
"4641","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium"
"4642","2-Low","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","4-High","2-Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","4-High","2-Low","1-Very Low","1-Very Low","2-Low","4-High","2-Low","4-High","4-High","2-Low","4-High","2-Low","3-Medium"
"4643","3-Medium","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","4-High","4-High","3-Medium","3-Medium","4-High","4-High","1-Very Low","4-High","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"4644","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High"
"4645","4-High","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
"4646","4-High","3-Medium","2-Low","3-Medium","4-High","2-Low","2-Low","2-Low","4-High","4-High","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","2-Low","4-High","2-Low"
"4647","2-Low","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium"
"4648","2-Low","5-Very High","2-Low","2-Low","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","1-Very Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"4649","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","4-High","3-Medium","4-High","2-Low","4-High","3-Medium","4-High"
"4650","3-Medium","2-Low","3-Medium","4-High","2-Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High"
"4651","4-High","4-High","2-Low","4-High","2-Low","2-Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","2-Low"
"4652","4-High","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","2-Low","4-High","4-High","3-Medium","4-High","4-High","4-High","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High"
"4653","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","4-High","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High"
"4654","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","1-Very Low","4-High","4-High","5-Very High","4-High","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","4-High","4-High"
"4655","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","4-High","5-Very High","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4656","3-Medium","3-Medium","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","2-Low","4-High","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","4-High","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium"
"4657","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","4-High","4-High","2-Low","2-Low"
"4658","3-Medium","2-Low","2-Low","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"4659","2-Low","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","1-Very Low","4-High","3-Medium","4-High","4-High","4-High","4-High","5-Very High","5-Very High","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium"
"4660","4-High","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","4-High","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4661","4-High","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"4662","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","5-Very High","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","5-Very High","2-Low"
"4663","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","5-Very High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low"
"4664","2-Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","4-High","2-Low","2-Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","4-High"
"4665","3-Medium","4-High","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium"
"4666","2-Low","4-High","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low"
"4667","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","4-High","4-High","5-Very High","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4668","2-Low","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium"
"4669","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium","4-High","4-High"
"4670","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","1-Very Low","4-High","4-High","4-High","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","4-High","2-Low","4-High","4-High"
"4671","3-Medium","2-Low","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High"
"4672","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"4673","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low"
"4674","3-Medium","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","5-Very High","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low"
"4675","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","4-High","4-High"
"4676","2-Low","4-High","5-Very High","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","5-Very High","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","4-High","5-Very High","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium"
"4677","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","5-Very High","4-High"
"4678","5-Very High","3-Medium","3-Medium","5-Very High","4-High","2-Low","2-Low","1-Very Low","4-High","4-High","3-Medium","2-Low","2-Low","4-High","4-High","2-Low","2-Low","2-Low","5-Very High","4-High","2-Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","4-High","3-Medium"
"4679","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"4680","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","4-High","3-Medium"
"4681","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","1-Very Low","4-High","4-High","2-Low","3-Medium","4-High","2-Low","4-High","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","5-Very High","4-High","3-Medium","4-High","3-Medium","2-Low"
"4682","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"4683","3-Medium","2-Low","1-Very Low","4-High","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","5-Very High"
"4684","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","5-Very High","2-Low","2-Low","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4685","3-Medium","2-Low","4-High","2-Low","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","5-Very High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High"
"4686","4-High","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","1-Very Low","5-Very High","3-Medium","1-Very Low","1-Very Low","4-High","4-High","2-Low","4-High","4-High","3-Medium","2-Low","4-High","4-High","3-Medium"
"4687","3-Medium","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","2-Low","4-High","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low"
"4688","4-High","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","2-Low","5-Very High","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium"
"4689","4-High","5-Very High","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","4-High","4-High","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium"
"4690","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","5-Very High","2-Low","4-High","1-Very Low","3-Medium","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","5-Very High","5-Very High","3-Medium","3-Medium"
"4691","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium"
"4692","2-Low","4-High","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","5-Very High","2-Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium"
"4693","2-Low","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","1-Very Low","3-Medium","4-High","4-High","4-High","4-High","4-High","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"4694","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"4695","3-Medium","5-Very High","3-Medium","2-Low","2-Low","1-Very Low","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","5-Very High","4-High","3-Medium","1-Very Low","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High"
"4696","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"4697","3-Medium","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"4698","4-High","4-High","4-High","3-Medium","4-High","1-Very Low","5-Very High","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","4-High","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","4-High"
